Fold,precision_0,recall_0,f-score_0,precision_1,recall_1,f-score_1,accuracy
1,0.9672337744171392,0.9696778269109286,0.9684542586750788,0.8706199460916442,0.8613333333333333,0.8659517426273458,0.9489274770173647
2,0.9590570719602978,0.97724399494311,0.9680651221039449,0.8956521739130435,0.824,0.8583333333333334,0.9478794072560041
3,0.9662420382165605,0.9589127686472819,0.9625634517766497,0.8320413436692506,0.8586666666666667,0.8451443569553806,0.939703628002044
4,0.9726288987905792,0.965865992414665,0.9692356485886457,0.8601036269430051,0.8853333333333333,0.8725361366622865,0.9504343382728666
5,0.9657360406091371,0.9620733249051833,0.9639012032932235,0.84251968503937,0.856,0.8492063492063492,0.941747572815534
6,0.9608832807570978,0.9627054361567636,0.9617934954215347,0.8413978494623656,0.8346666666666667,0.8380187416331996,0.9381706693919264
7,0.9658875552747946,0.9664981036662452,0.9661927330173775,0.8582887700534759,0.856,0.8571428571428572,0.9453244762391415
8,0.9725415070242657,0.9627054361567636,0.9675984752223634,0.8491048593350383,0.8853333333333333,0.8668407310704961,0.9478794072560041
9,0.9731113956466069,0.9608091024020228,0.9669211195928753,0.8430379746835444,0.888,0.864935064935065,0.9468574348492591
10,0.9694267515923567,0.9620733249051833,0.965736040609137,0.8449612403100775,0.872,0.858267716535433,0.9448134900357691
