Fold,precision_0,recall_0,f-score_0,precision_1,recall_1,f-score_1,accuracy
1,0.9671052631578947,0.98,0.9735099337748344,0.625,0.5,0.5555555555555556,0.95
2,0.9668874172185431,0.9733333333333334,0.9700996677740864,0.5555555555555556,0.5,0.5263157894736842,0.94375
3,0.9607843137254902,0.98,0.9702970297029702,0.5714285714285714,0.4,0.47058823529411764,0.94375
4,0.9403973509933775,0.9466666666666667,0.9435215946843853,0.1111111111111111,0.1,0.10526315789473685,0.89375
5,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.2857142857142857,0.2,0.23529411764705882,0.91875
6,0.9605263157894737,0.9733333333333334,0.9668874172185431,0.5,0.4,0.4444444444444445,0.9375
7,0.9487179487179487,0.9932885906040269,0.9704918032786884,0.75,0.2727272727272727,0.39999999999999997,0.94375
8,0.96,0.9664429530201343,0.9632107023411371,0.4444444444444444,0.4,0.4210526315789474,0.9308176100628931
9,0.9487179487179487,0.9932885906040269,0.9704918032786884,0.6666666666666666,0.2,0.30769230769230765,0.9433962264150944
10,0.9607843137254902,0.9865771812080537,0.9735099337748345,0.6666666666666666,0.4,0.5,0.949685534591195
