_id,owner,repo,toxicity
caiorss/Functional-Programming/1,caiorss,Functional-Programming,n
caiorss/Functional-Programming/10,caiorss,Functional-Programming,n
caiorss/Functional-Programming/13,caiorss,Functional-Programming,n
caiorss/Functional-Programming/14,caiorss,Functional-Programming,n
caiorss/Functional-Programming/15,caiorss,Functional-Programming,n
caiorss/Functional-Programming/18,caiorss,Functional-Programming,n
caiorss/Functional-Programming/19,caiorss,Functional-Programming,n
caiorss/Functional-Programming/2,caiorss,Functional-Programming,n
caiorss/Functional-Programming/20,caiorss,Functional-Programming,n
caiorss/Functional-Programming/21,caiorss,Functional-Programming,n
caiorss/Functional-Programming/25,caiorss,Functional-Programming,n
caiorss/Functional-Programming/26,caiorss,Functional-Programming,n
caiorss/Functional-Programming/27,caiorss,Functional-Programming,n
caiorss/Functional-Programming/28,caiorss,Functional-Programming,n
caiorss/Functional-Programming/33,caiorss,Functional-Programming,n
caiorss/Functional-Programming/34,caiorss,Functional-Programming,n
caiorss/Functional-Programming/35,caiorss,Functional-Programming,n
caiorss/Functional-Programming/36,caiorss,Functional-Programming,n
caiorss/Functional-Programming/37,caiorss,Functional-Programming,n
caiorss/Functional-Programming/4,caiorss,Functional-Programming,n
caiorss/Functional-Programming/41,caiorss,Functional-Programming,n
caiorss/Functional-Programming/5,caiorss,Functional-Programming,n
caiorss/Functional-Programming/6,caiorss,Functional-Programming,n
caiorss/Functional-Programming/7,caiorss,Functional-Programming,n
caiorss/Functional-Programming/8,caiorss,Functional-Programming,n
caiorss/Functional-Programming/9,caiorss,Functional-Programming,n
mikeizbicki/HLearn/1,mikeizbicki,HLearn,n
mikeizbicki/HLearn/10,mikeizbicki,HLearn,n
mikeizbicki/HLearn/11,mikeizbicki,HLearn,n
mikeizbicki/HLearn/12,mikeizbicki,HLearn,n
mikeizbicki/HLearn/13,mikeizbicki,HLearn,n
mikeizbicki/HLearn/14,mikeizbicki,HLearn,n
mikeizbicki/HLearn/15,mikeizbicki,HLearn,n
mikeizbicki/HLearn/16,mikeizbicki,HLearn,n
