Dumped model
['perspective_score', 'stanford_polite']
Looping through test_issues
pandoc/jgm/445 0
Idris-dev/idris-lang/1982 0
yesod/yesodweb/438 0
Idris-dev/idris-lang/3850 0
wire-server/wireapp/170 0
Idris-dev/idris-lang/1107 0
Idris-dev/idris-lang/1981 0
yesod/yesodweb/999 0
Idris-dev/idris-lang/2805 0
yesod/yesodweb/436 0
Idris-dev/idris-lang/1106 0
wire-server/wireapp/168 0
Idris-dev/idris-lang/3849 0
Idris-dev/idris-lang/1105 0
Idris-dev/idris-lang/2804 0
stack/commercialhaskell/4307 0
yesod/yesodweb/998 0
wire-server/wireapp/167 0
Idris-dev/idris-lang/3847 0
Idris-dev/idris-lang/1103 0
yesod/yesodweb/435 0
stack/commercialhaskell/4306 0
Idris-dev/idris-lang/1102 0
Idris-dev/idris-lang/2803 0
yesod/yesodweb/434 0
wire-server/wireapp/166 0
yesod/yesodweb/1000 0
Idris-dev/idris-lang/2806 0
wire-server/wireapp/171 0
stack/commercialhaskell/4308 0
wire-server/wireapp/187 0
Idris-dev/idris-lang/1111 0
yesod/yesodweb/442 0
stack/commercialhaskell/4311 0
Idris-dev/idris-lang/3854 0
Idris-dev/idris-lang/2809 0
yesod/yesodweb/1003 0
wire-server/wireapp/185 0
Idris-dev/idris-lang/1110 0
yesod/yesodweb/441 0
wire-server/wireapp/184 0
Idris-dev/idris-lang/1109 0
yesod/yesodweb/433 0
yesod/yesodweb/440 0
Idris-dev/idris-lang/3853 0
stack/commercialhaskell/4310 0
wire-server/wireapp/177 0
yesod/yesodweb/1002 0
wire-server/wireapp/176 0
yesod/yesodweb/1001 0
Idris-dev/idris-lang/3852 0
stack/commercialhaskell/4309 0
Idris-dev/idris-lang/2807 0
yesod/yesodweb/439 0
Idris-dev/idris-lang/1108 0
Idris-dev/idris-lang/3851 0
Idris-dev/idris-lang/2808 0
Idris-dev/idris-lang/2810 0
Idris-dev/idris-lang/1980 0
wire-server/wireapp/165 0
wire-server/wireapp/159 0
Idris-dev/idris-lang/2800 0
Idris-dev/idris-lang/1094 0
stack/commercialhaskell/4299 0
yesod/yesodweb/427 0
yesod/yesodweb/995 0
Idris-dev/idris-lang/1092 0
Idris-dev/idris-lang/3842 0
wire-server/wireapp/156 0
stack/commercialhaskell/4298 0
yesod/yesodweb/994 0
Idris-dev/idris-lang/1975 0
stack/commercialhaskell/4297 0
Idris-dev/idris-lang/2799 0
wire-server/wireapp/155 0
yesod/yesodweb/426 0
yesod/yesodweb/993 0
Idris-dev/idris-lang/1091 0
Idris-dev/idris-lang/1974 0
stack/commercialhaskell/4296 0
Idris-dev/idris-lang/2798 0
wire-server/wireapp/154 0
yesod/yesodweb/425 0
Idris-dev/idris-lang/1090 0
wire-server/wireapp/153 0
Idris-dev/idris-lang/1976 0
Idris-dev/idris-lang/3843 0
stack/commercialhaskell/4301 0
yesod/yesodweb/428 0
Idris-dev/idris-lang/1979 0
Idris-dev/idris-lang/3846 0
stack/commercialhaskell/4305 0
Idris-dev/idris-lang/1100 0
yesod/yesodweb/432 0
yesod/yesodweb/997 0
Idris-dev/idris-lang/1978 0
Idris-dev/idris-lang/1099 0
wire-server/wireapp/164 0
stack/commercialhaskell/4304 0
Idris-dev/idris-lang/1098 0
Idris-dev/idris-lang/3845 0
Idris-dev/idris-lang/1101 0
Idris-dev/idris-lang/1977 0
stack/commercialhaskell/4303 0
yesod/yesodweb/430 0
Idris-dev/idris-lang/2802 0
Idris-dev/idris-lang/1096 0
Idris-dev/idris-lang/3844 0
yesod/yesodweb/429 0
stack/commercialhaskell/4302 0
wire-server/wireapp/161 0
Idris-dev/idris-lang/2801 0
Idris-dev/idris-lang/1095 0
wire-server/wireapp/160 0
yesod/yesodweb/996 0
yesod/yesodweb/431 0
Idris-dev/idris-lang/1112 0
stack/commercialhaskell/4312 0
