lexicon,specific,word
epistemological,factive,know
epistemological,factive,realize
epistemological,factive,regret
epistemological,factive,forget
epistemological,factive,find out
epistemological,factive,discover
epistemological,factive,learn
epistemological,factive,note
epistemological,factive,notice
epistemological,factive,observe
epistemological,factive,perceive
epistemological,factive,recall
epistemological,factive,remember
epistemological,factive,reveal
epistemological,factive,see
epistemological,factive,resent
epistemological,factive,amuse
epistemological,factive,suffice
epistemological,factive,bother
epistemological,factive,make sense
epistemological,factive,care
epistemological,factive,odd
epistemological,factive,strange
epistemological,factive,interesting
epistemological,factive,relevant
epistemological,factive,sorry
epistemological,factive,exciting
epistemological,assertive,think
epistemological,assertive,believe
epistemological,assertive,suppose
epistemological,assertive,expect
epistemological,assertive,imagine
epistemological,assertive,guess
epistemological,assertive,seem
epistemological,assertive,appear
epistemological,assertive,figure
epistemological,assertive,acknowledge
epistemological,assertive,admit
epistemological,assertive,affirm
epistemological,assertive,allege
epistemological,assertive,answer
epistemological,assertive,argue
epistemological,assertive,assert
epistemological,assertive,assure
epistemological,assertive,certify
epistemological,assertive,charge
epistemological,assertive,claim
epistemological,assertive,contend
epistemological,assertive,declare
epistemological,assertive,divulge
epistemological,assertive,emphasize
epistemological,assertive,explain
epistemological,assertive,grant
epistemological,assertive,guarantee
epistemological,assertive,hint
epistemological,assertive,hypothesize
epistemological,assertive,imply
epistemological,assertive,indicate
epistemological,assertive,insist
epistemological,assertive,intimate
epistemological,assertive,maintain
epistemological,assertive,mention
epistemological,assertive,point out
epistemological,assertive,predict
epistemological,assertive,prophesy
epistemological,assertive,postulate
epistemological,assertive,remark
epistemological,assertive,reply
epistemological,assertive,report
epistemological,assertive,say
epistemological,assertive,state
epistemological,assertive,suggest
epistemological,assertive,swear
epistemological,assertive,testify
epistemological,assertive,theorize
epistemological,assertive,verify
epistemological,assertive,vow
epistemological,assertive,write
epistemological,assertive,agree
epistemological,assertive,afraid
epistemological,assertive,certain
epistemological,assertive,sure
epistemological,assertive,clear
epistemological,assertive,obvious
epistemological,assertive,evident
epistemological,assertive,calculate
epistemological,assertive,decide
epistemological,assertive,deduce
epistemological,assertive,estimate
epistemological,assertive,hope
epistemological,assertive,presume
epistemological,assertive,surmise
epistemological,assertive,suspect
epistemological,implicative,manage
epistemological,implicative,remember
epistemological,implicative,bother
epistemological,implicative,get
epistemological,implicative,dare
epistemological,implicative,care
epistemological,implicative,venture
epistemological,implicative,condescend
epistemological,implicative,happen
epistemological,implicative,fit
epistemological,implicative,careful
epistemological,implicative,misfortune
epistemological,implicative,sense
epistemological,implicative,succeed
epistemological,implicative,deign
epistemological,implicative,forget
epistemological,implicative,fail
epistemological,implicative,neglect
epistemological,implicative,decline
epistemological,implicative,avoid
epistemological,implicative,refrain
epistemological,implicative,choose
